Post_ID,Actor_Name,Post_Format,BERTopic,functional_genre,blindspot,comment_avail,n_comments_scraped,Comments,eng_rate,pca1_bin,pca2_bin,pca3_bin,commemoration_day,live_series,hiring,pure_info,visual_zeroshot,visual_hdbscan,selection_reason,image_path,image_exists
DWHgK_VkmUt,N/a'an ku se Foundation,Video,21,wildlife_series_broadcast,False,False,0,0,0.001551,hi,hi,hi,False,True,False,False,animal_portrait,-1,genre_core,../3. Codebook & Coding/media_test/DWHgK_VkmUt.jpg,True
DWZose4CUA7,N/a'an ku se Foundation,Video,21,wildlife_series_broadcast,False,False,1,1,0.00273,mid,mid,mid,False,True,False,False,animal_portrait,-1,genre_core,../3. Codebook & Coding/media_test/DWZose4CUA7.jpg,True
DWrjZUMCXX9,N/a'an ku se Foundation,Video,21,wildlife_series_broadcast,False,False,0,0,0.001652,mid,lo,mid,False,True,False,False,animal_portrait,-1,genre_core,../3. Codebook & Coding/media_test/DWrjZUMCXX9.jpg,True
DXfEn4XjoXB,Desert Lion Conservation Trust,Image,21,wildlife_series_broadcast,False,False,0,0,0.026771,mid,lo,hi,False,False,False,False,poster_text,8,genre_core,../3. Codebook & Coding/media_test/DXfEn4XjoXB.jpg,True
DSkb8crjN7Y,Elephant Human Relations Aid,Image,0,coexistence_community_livelihoods,True,False,1,1,0.014817,mid,lo,mid,False,False,False,False,animal_portrait,8,blindspot,../3. Codebook & Coding/media_test/DSkb8crjN7Y.jpg,True
DQyN1z-jWP2,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,True,True,3,3,0.006019,mid,lo,mid,False,False,False,False,animal_portrait,9,blindspot,../3. Codebook & Coding/media_test/DQyN1z-jWP2.jpg,True
DTINIX7jsOm,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,True,False,1,1,0.002308,mid,lo,mid,False,False,False,False,animal_portrait,9,blindspot,../3. Codebook & Coding/media_test/DTINIX7jsOm.jpg,True
DTrtFpEjvQr,Ongava Game Reserve,Image,1,ecotourism_aesthetic,True,False,0,0,0.004042,lo,lo,mid,False,False,False,False,branding_logo,10,blindspot,../3. Codebook & Coding/media_test/DTrtFpEjvQr.jpg,True
DU2k5TgCEm4,Ongava Game Reserve,Video,2,ecotourism_aesthetic,True,False,0,0,0.004306,lo,lo,mid,False,False,False,False,landscape_scenery,0,blindspot,../3. Codebook & Coding/media_test/DU2k5TgCEm4.jpg,True
DUQMkcKCKzR,Ongava Game Reserve,Video,2,ecotourism_aesthetic,True,False,0,0,0.004921,lo,lo,mid,False,False,False,False,behind_the_scenes,-1,blindspot,../3. Codebook & Coding/media_test/DUQMkcKCKzR.jpg,True
DUuxi5_DvLg,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,True,False,2,2,0.005069,mid,lo,mid,False,False,False,False,animal_portrait,4,blindspot,../3. Codebook & Coding/media_test/DUuxi5_DvLg.jpg,True
DWGNnrpDtYm,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,True,False,0,0,0.002195,lo,lo,mid,False,False,False,False,animal_portrait,8,blindspot,../3. Codebook & Coding/media_test/DWGNnrpDtYm.jpg,True
DWN8CmPDmjg,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,True,False,0,0,0.002172,lo,lo,mid,False,False,False,False,landscape_scenery,0,blindspot,../3. Codebook & Coding/media_test/DWN8CmPDmjg.jpg,True
DWTFsBgjvPD,Harnas Wildlife Foundation,Carousel,1,ecotourism_aesthetic,True,False,2,2,0.002874,mid,lo,mid,False,False,False,False,behind_the_scenes,10,blindspot,../3. Codebook & Coding/media_test/DWTFsBgjvPD.jpg,True
DUFkxsrAbe6,Gobabeb Research & Training Centre,Image,-1,outlier_atypical,True,False,0,0,0.040468,mid,lo,mid,False,False,False,False,behind_the_scenes,-1,blindspot,../3. Codebook & Coding/media_test/DUFkxsrAbe6.jpg,True
DUneNtoiFmf,Environmental Investment Fund,Carousel,6,policy_governance,True,False,1,1,0.0133,lo,lo,mid,False,False,False,False,people_event,12,blindspot,../3. Codebook & Coding/media_test/DUneNtoiFmf.jpg,True
DQt0XptgQN5,Gobabeb Research & Training Centre,Carousel,12,research_dispatch,True,False,0,0,0.040468,mid,lo,mid,False,False,False,False,landscape_scenery,10,blindspot,../3. Codebook & Coding/media_test/DQt0XptgQN5.jpg,True
DTTQcXSDwcQ,Giraffe Conservation Foundation,Image,8,weekly_ritual_filler,True,True,5,5,0.010528,mid,lo,mid,False,False,False,False,animal_portrait,5,blindspot,../3. Codebook & Coding/media_test/DTTQcXSDwcQ.jpg,True
DXgjOMjoc5M,Elephant Human Relations Aid,Video,0,coexistence_community_livelihoods,False,True,15,53,0.036904,mid,hi,lo,False,False,False,False,behind_the_scenes,-1,high_discussion,../3. Codebook & Coding/media_test/DXgjOMjoc5M.jpg,True
DV8HsvgjHW4,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,190,0.024165,hi,hi,hi,False,False,False,False,animal_portrait,4,high_discussion,../3. Codebook & Coding/media_test/DV8HsvgjHW4.jpg,True
DVe15yLj6YW,Cheetah Conservation Fund,Carousel,18,rescue_intervention,False,True,15,22,0.056814,hi,hi,hi,False,False,False,True,animal_portrait,4,high_discussion,../3. Codebook & Coding/media_test/DVe15yLj6YW.jpg,True
DVn1_0tkheU,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,2059,0.406898,hi,hi,hi,False,False,False,False,behind_the_scenes,6,high_discussion,../3. Codebook & Coding/media_test/DVn1_0tkheU.jpg,True
DW1FxNZDbnS,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,1315,0.906209,hi,hi,hi,False,False,False,False,behind_the_scenes,6,high_discussion,../3. Codebook & Coding/media_test/DW1FxNZDbnS.jpg,True
DW69EwJESBc,Cheetah Conservation Fund,Video,18,rescue_intervention,False,True,15,37,0.01988,hi,hi,hi,False,False,False,False,animal_portrait,4,high_discussion,../3. Codebook & Coding/media_test/DW69EwJESBc.jpg,True
DWgLGvxDPxZ,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,448,0.153737,hi,hi,hi,False,False,False,False,behind_the_scenes,6,high_discussion,../3. Codebook & Coding/media_test/DWgLGvxDPxZ.jpg,True
DVdps8pDG1E,Elephant Human Relations Aid,Carousel,0,coexistence_community_livelihoods,False,False,2,2,0.076109,mid,mid,lo,False,False,False,False,behind_the_scenes,19,coverage_guarantee,../3. Codebook & Coding/media_test/DVdps8pDG1E.jpg,True
DTNWuvpjhud,Harnas Wildlife Foundation,Carousel,1,ecotourism_aesthetic,False,False,0,0,0.000679,lo,lo,mid,False,False,False,False,branding_logo,0,coverage_guarantee,../3. Codebook & Coding/media_test/DTNWuvpjhud.jpg,True
DUvBEwdiOJq,Ongava Game Reserve,Video,2,ecotourism_aesthetic,True,True,6,6,0.016872,mid,lo,mid,False,False,False,True,branding_logo,0,coverage_guarantee,../3. Codebook & Coding/media_test/DUvBEwdiOJq.jpg,True
DQlvwlSjZA2,Environmental Investment Fund,Image,-1,outlier_atypical,False,False,0,0,0.062698,lo,mid,hi,False,False,False,False,poster_text,2,coverage_guarantee,../3. Codebook & Coding/media_test/DQlvwlSjZA2.jpg,True
DVeHLEsEZn4,Cheetah Conservation Fund,Video,-1,outlier_atypical,False,False,2,2,0.001077,mid,lo,hi,False,False,False,False,poster_text,6,coverage_guarantee,../3. Codebook & Coding/media_test/DVeHLEsEZn4.jpg,True
DWjZfpulh0r,N/a'an ku se Foundation,Carousel,-1,outlier_atypical,False,True,5,5,0.015877,hi,hi,lo,False,False,False,True,behind_the_scenes,-1,coverage_guarantee,../3. Codebook & Coding/media_test/DWjZfpulh0r.jpg,True
DXbU3-0DCwx,Youth4CAN,Image,-1,outlier_atypical,False,False,0,0,0.011126,lo,hi,hi,True,False,False,False,behind_the_scenes,18,coverage_guarantee,../3. Codebook & Coding/media_test/DXbU3-0DCwx.jpg,True
DSpvIk3DMXZ,AfriCat Foundation,Video,25,research_dispatch,False,False,0,0,0.002968,mid,mid,lo,False,False,False,False,animal_portrait,9,coverage_guarantee,../3. Codebook & Coding/media_test/DSpvIk3DMXZ.jpg,True
