Post_ID;clip_align
DV8cRb7k5JC;0.2498
DSdJz7fCF4Q;0.3493
DSnBI6rCHzY;0.298
DWJUQOwkd-V;0.2427
DSn2EjJiBve;0.332
DSS-iu4jtyt;0.2231
DTQjJL5iIl2;0.2249
DTzjeUjCAPj;0.3189
DTrvR10CNL6;0.2091
DWjhZ4BOz6Q;0.258
DVqBtGKjNAj;0.3003
DW9k7GUDah6;0.278
DT_tR4nCL1l;0.2534
DT5U_tKCLTG;0.2996
DXE-OgWjDbf;0.2592
DVisU9BDETE;0.2698
DV0MHPLDsfO;0.3389
DVlRHoTjUBR;0.2749
DUqU3urCOlq;0.2771
DUUz0iRDln7;0.2853
DVn1_0tkheU;0.2519
DWboxZriOr5;0.3226
DQt-tMODDgV;0.3026
DQ9Ck7CiNTM;0.2949
DSB_StyiP9N;0.2727
DQ_nfCKDKZ8;0.2765
DRHaAmiDJXM;0.3024
DQrZ7TJDHjS;0.293
DSqGNSaDeGo;0.2908
DQoxtvHiEiB;0.315
DSHY-RICNI1;0.3124
DRzUzfEiDhG;0.307
DRZYCRciGff;0.2499
DRzjbHoCBJj;0.2209
DUneNtoiFmf;0.3227
DWjEaq3iB7e;0.2705
DT16QUUjpHs;0.3281
DTw-cDsjg1M;0.3118
DRCDcjeiPo8;0.3168
DVbS9aUDhBA;0.2614
DRM2T3YjOAm;0.3078
DVJYXnKjRBg;0.1675
DRpNNWuiEbq;0.232
DQ_CaSgikVa;0.2827
DWY0epAiNPH;0.3001
DQg1hw9iKpD;0.2234
DXEHsmhjlft;0.323
DS7ycYNDEFD;0.1648
DVqBEnpiMbf;0.2622
DQ1RoI8DCa2;0.2071
DT5BcGpDCOg;0.265
DUI6f7uiG8n;0.2057
DQwlJwfDWbc;0.2679
DRe4M-aDIWa;0.2179
DWyg-oLjGQN;0.2
DWv8LJvlSEd;0.2528
DQoS5CdDHLo;0.283
DXuVGWBCGa5;0.284
DUhrzlZjphA;0.2802
DQ6Ud-djNHm;0.2887
DSZ41IKiPsl;0.2744
DRwohMGDDYj;0.2612
DRRgrmyjLcD;0.4009
DS9vxx7jGRU;0.2931
DRpNB6jiCEl;0.2492
