post_id,genre_consolidated,functional_genre,narrative_structure,actual_cta,cta_present,target_audience,register_tone,image_role,image_caption_relation,n_appeals,appeal_emotional,appeal_identity,appeal_informational,appeal_aesthetic,appeal_social_normative,appeal_economic,audience_general_public,audience_supporters,audience_tourists,audience_peers_researchers,audience_donors,audience_youth,audience_policymakers,audience_local_community,vq_aesthetic_ord,vq_effort_ord,vq_human_ord,vq_text_ord,has_people,mood_warm,mood_cool,mood_muted,mood_vibrant,species_congruence,caption_species_set,visual_species_set,missed_visual_flag
DSAAY7CCL0h,Educational explainer,data dissemination infographic,explainer/list,"For interested readers, the 'Annual Namibia Wildlife Protection and Law Enforcement Report' can be found on our website. 🔗link in bio.",1,"peers/researchers, policymakers, supporters, general-public",institutional-formal,data-viz,adds-info,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,3,3,0,3,0,1,1,0,0,names_not_shows,elephant;pangolin;rhino,,False
DSo4McVCYZ-,Wildlife showcase & feel-good,staff conservation showcase,anecdote,none,0,tourists|supporters,warm-personal,illustrative,adds-info,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,2,1,0,1,1,1,0,0,names_not_shows,rhino,,True
DTHxtDGDjph,Programme/fieldwork/impact,programme showcase,showcase,none,0,"donors,supporters,general-public",warm-personal,illustrative,repeats,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,3,0,1,1,0,0,1,names_not_shows,rhino,,True
DTw-cDsjg1M,Programme/fieldwork/impact,mission showcase,showcase,none,0,tourists|supporters|general-public,warm-personal,illustrative,repeats,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,3,3,0,0,0,1,0,1,0,match,rhino,rhino,False
DUgMnW8jL3b,Rescue & animal case,rescue animal showcase,anecdote,none,0,"general-public, supporters",warm-personal,text-carrier,adds-info,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,match,cheetah,cheetah,False
DXY1VUcAHbh,Recognition/tribute/gratitude,partner thank-you announcement,milestone,none,0,donors|supporters|general-public,warm-personal,symbolic,repeats,2,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,names_not_shows,rhino,,True
DR5IqOsiJb_,Educational explainer,fun-fact edutainment,explainer/list,none,0,general-public,playful,illustrative,adds-info,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,match,giraffe,giraffe,False
DSsoe4NDfql,Wildlife showcase & feel-good,seasonal greeting card,none,none,0,"supporters, general-public",warm-personal,text-carrier,repeats,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,2,0,1,0,0,0,match,giraffe,giraffe,False
DSvNTG6DxNi,Wildlife showcase & feel-good,aesthetic mood post,none,none,0,"tourists, general-public, supporters",playful,illustrative,adds-info,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,3,3,0,0,0,1,0,0,0,match,giraffe,bird;giraffe,False
DTlR_2oEp9y,Wildlife showcase & feel-good,playful wildlife greeting,none,none,0,"general-public, tourists",playful,illustrative,adds-info,3,1,1,0,1,0,0,1,0,1,0,0,0,0,0,3,2,0,0,0,0,1,1,0,match,giraffe,giraffe,False
DUtYO6nDaS4,Seasonal greeting,weekly engagement hook,none,none,0,"general-public, supporters, tourists",playful,illustrative,repeats,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,3,3,0,0,0,1,1,0,0,match,giraffe,giraffe,False
DWY0epAiNPH,Wildlife showcase & feel-good,internal culture showcase,showcase,none,0,"general-public, supporters",warm-personal,illustrative,adds-info,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,3,0,1,1,0,0,1,neither,,,False
DWmZr1-Ewni,Seasonal greeting,April Fools joke,other,none,0,"general-public, supporters",playful,illustrative,adds-info,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,1,1,0,0,match,giraffe,giraffe,False
DV1elZ8D0VV,Broadcast & media,TV episode announcement,none,none,0,general-public,promotional,decorative,unrelated,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,neither,,,True
DVRbbXIiHaN,Broadcast & media,TV episode promotion,showcase,Don't miss the roar. [implied: tune in Sunday 1 March 2026 at 20:30 on DStv kykNet Channel 144],1,general-public,promotional,decorative,contradicts,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,names_not_shows,lion,,True
DWHgK_VkmUt,Broadcast & media,TV episode promotion,anecdote,"Don't miss this powerful episode showcasing the incredible story of these majestic lions. Only on DStv – kykNET (Channel 144), Sunday, 22 March, 8:30 PM",1,general-public,promotional,unrelated,unrelated,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,names_not_shows,lion,,True
DWZose4CUA7,Broadcast & media,TV episode promotion,other,"Don't miss the action! 📺 Sunday, 29 March ⏰ 20:30 📡 kykNET (DStv channel 144)",1,general-public,promotional,decorative,unrelated,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,names_not_shows,cheetah,,True
DWrjZUMCXX9,Broadcast & media,TV episode promotion,other,"Don't miss the wildest episode yet — Sunday, 5 April, 20:30, kykNET (DStv channel 144)",1,general-public,playful,decorative,unrelated,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,names_not_shows,hyena,,True
DXfEn4XjoXB,Broadcast & media,TV broadcast promotion,none,"Do not miss this, in southern Africa on DSTV - Sunday 26 April 18:45 CAT. See the trailer here https://youtu.be/FoX0CNB8Us0?si=Y54bQse8-qcdB8Av",1,general-public,promotional,text-carrier,repeats,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1,1,match,lion,lion,False
DSkb8crjN7Y,Broadcast & media,programme teaser announcement,none,none,0,general-public|supporters,warm-personal,symbolic,adds-info,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,1,1,0,0,match,elephant,elephant,False
DQyN1z-jWP2,Wildlife showcase & feel-good,wildlife encounter showcase,anecdote,none,0,tourists|general-public,warm-personal,illustrative,adds-info,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,match,kudu,kudu,False
DTINIX7jsOm,Tourism & lodge,lodge atmosphere showcase,showcase,none,0,tourists,warm-personal,illustrative,repeats,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,1,0,0,1,neither,,,False
DTrtFpEjvQr,Tourism & lodge,lodge atmosphere promo,showcase,none,0,tourists,warm-personal,illustrative,repeats,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,3,1,1,1,1,0,0,0,neither,,,False
DU2k5TgCEm4,Tourism & lodge,lodge rebrand announcement,milestone,none,0,tourists,warm-personal,illustrative,adds-info,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,1,0,1,0,neither,,,False
DUQMkcKCKzR,Tourism & lodge,lodge experience promotion,showcase,none,0,tourists,warm-personal,illustrative,adds-info,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2,2,1,0,1,1,0,0,0,neither,,,True
DUuxi5_DvLg,Tourism & lodge,seasonal tourism promotion,showcase,come stay at Harnas Guest Farm to meet our wild friends,1,tourists,warm-personal,illustrative,adds-info,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,1,0,0,0,match,cheetah,cheetah,False
DWGNnrpDtYm,Tourism & lodge,sanctuary atmosphere showcase,showcase,none,0,tourists|general-public,warm-personal,illustrative,repeats,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,3,2,0,0,0,1,1,1,0,match,bee;wildebeest,bee;wildebeest,False
DWN8CmPDmjg,Tourism & lodge,lodge experience promotion,showcase,none,0,tourists,warm-personal,illustrative,repeats,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,1,0,1,neither,,,True
DWTFsBgjvPD,Tourism & lodge,lodge experience promotion,showcase,"Step into culture, tradition, and the living history of the San community.",1,tourists,promotional,illustrative,adds-info,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,3,3,2,0,1,1,1,0,1,neither,,,True
DUFkxsrAbe6,Wildlife showcase & feel-good,notable-visitor showcase,anecdote,none,0,"supporters, general-public, peers/researchers",warm-personal,illustrative,adds-info,2,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,2,1,1,1,0,0,0,neither,,,False
DUneNtoiFmf,Institutional announcement,institutional agreement announcement,milestone,none,0,peers/researchers|policymakers|general-public,institutional-formal,illustrative,adds-info,2,0,1,1,0,0,0,1,0,0,1,0,0,1,0,3,3,2,0,1,0,1,0,0,neither,,,False
DQt0XptgQN5,Wildlife showcase & feel-good,partnership experience showcase,anecdote,none,0,"peers/researchers, supporters, general-public",warm-personal,illustrative,adds-info,2,1,0,0,1,0,0,1,1,0,1,0,0,0,0,2,2,1,0,1,1,1,0,0,neither,,,False
DTTQcXSDwcQ,Seasonal greeting,weekend greeting post,none,none,0,general-public,warm-personal,illustrative,repeats,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,1,1,0,0,match,giraffe,giraffe,False
DXgjOMjoc5M,Recruitment/fundraising/participation,volunteer thank-you,milestone,drop it in the comments,1,supporters,warm-personal,illustrative,adds-info,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,1,1,1,0,0,names_not_shows,elephant,,True
DV8HsvgjHW4,Rescue & animal case,rescue case narration,anecdote,none,0,general-public,warm-personal,illustrative,adds-info,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,match,seal,seal,False
DVe15yLj6YW,Recruitment/fundraising/participation,sponsorship solicitation,explainer/list,Visit cheetah.org/get-involved/ways-to-give/sponsor/,1,"donors,general-public,supporters",warm-personal,illustrative,adds-info,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,match,cheetah,cheetah,False
DVn1_0tkheU,Rescue & animal case,rescue appeal,problem-solution,none,0,"general-public,donors,supporters",urgent,illustrative,repeats,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,1,0,1,0,0,1,1,1,match,seal,seal,True
DW1FxNZDbnS,Rescue & animal case,rescue outcome showcase,problem-solution,none,0,"general-public, supporters",warm-personal,illustrative,adds-info,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,1,1,1,0,match,seal,seal,True
DW69EwJESBc,Rescue & animal case,individual rescue narrative,anecdote,Visit cheetah.org/get-involved/ways-to-give/sponsor,1,"donors,supporters,general-public",warm-personal,illustrative,repeats,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,0,1,1,0,0,match,cheetah,cheetah,True
DWgLGvxDPxZ,Other/unmapped,crisis narration post,anecdote,none,0,general-public|supporters,urgent,illustrative,adds-info,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,1,1,1,0,0,0,neither,,,True
DVdps8pDG1E,Wildlife showcase & feel-good,partnership showcase,showcase,none,0,"supporters,peers/researchers,general-public",warm-personal,illustrative,adds-info,3,1,1,0,0,1,0,1,1,0,1,0,0,0,0,2,2,2,0,1,1,1,0,1,match,elephant,elephant,True
DTNWuvpjhud,Tourism & lodge,lodge amenity promotion,problem-solution,none,0,tourists,warm-personal,illustrative,adds-info,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,2,0,1,0,1,0,0,0,neither,,,False
DUvBEwdiOJq,Tourism & lodge,lodge rebrand announcement,milestone,none,0,tourists,promotional,illustrative,adds-info,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,1,0,0,0,neither,,,True
DQlvwlSjZA2,Recruitment/fundraising/participation,bursary recruitment announcement,explainer/list,Visit www.eif.org.na for information,1,youth,institutional-formal,text-carrier,repeats,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,2,0,3,0,1,0,1,0,shows_not_names,,elephant,False
DVeHLEsEZn4,Broadcast & media,media launch announcement,milestone,none,0,"general-public,supporters",promotional,text-carrier,repeats,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,names_not_shows,cheetah,,True
DWjZfpulh0r,Programme/fieldwork/impact,conservation mission report,problem-solution,Be part of the mission. Support conservation that saves lives.,1,"donors,supporters,general-public",warm-personal,illustrative,adds-info,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,3,3,0,0,0,1,0,1,0,match,wild dog,wild dog,False
DXbU3-0DCwx,Awareness-day & cause,awareness day commemoration,milestone,none,0,"youth,general-public,supporters",warm-personal,illustrative,adds-info,2,1,1,0,0,0,0,1,1,0,0,0,1,0,0,2,2,3,2,1,1,1,0,0,neither,,,False
DSpvIk3DMXZ,Other/unmapped,research milestone update,milestone,none,0,"peers/researchers, supporters, general-public",institutional-formal,illustrative,repeats,2,0,1,1,0,0,0,1,1,0,1,0,0,0,0,3,3,0,0,0,1,1,0,0,match,hyena,hyena,True
